iter	MultiClass
0	1.678666274
1	1.572323845
2	1.501574972
3	1.441462933
4	1.395969893
5	1.348121462
6	1.308656766
7	1.272260085
8	1.240723167
9	1.21520819
10	1.195211393
11	1.168686597
12	1.147693953
13	1.130855044
14	1.112067602
15	1.097946199
16	1.087482987
17	1.07654986
18	1.063502297
19	1.051016649
20	1.039785764
21	1.032555987
22	1.025268111
23	1.01975975
24	1.011563823
25	1.003195136
26	0.9981622512
27	0.9938943996
28	0.98935848
29	0.9839309072
30	0.9783475388
31	0.9762398272
32	0.9721333663
33	0.9682150872
34	0.9661162824
35	0.9641671917
36	0.9606936724
37	0.9596525288
38	0.9560949832
39	0.9537326704
40	0.9495205064
41	0.9469496199
42	0.9444603499
43	0.9424743277
44	0.9403976184
45	0.9378534153
46	0.9347064183
47	0.9337471906
48	0.932647809
49	0.9289434567
50	0.9277464243
51	0.9262512126
52	0.9251589272
53	0.9248634299
54	0.9242632765
55	0.9220158637
56	0.9212050509
57	0.9197891189
58	0.9188418301
59	0.9170600563
60	0.9148194872
61	0.9135946236
62	0.9114814241
63	0.9097131415
64	0.9093420152
65	0.9073654945
66	0.9066561697
67	0.9050070889
68	0.904042111
69	0.9026450271
70	0.901708764
71	0.9002469958
72	0.8992466146
73	0.8962626471
74	0.8936964457
75	0.8917657812
76	0.8906868528
77	0.8896325023
78	0.8885685426
79	0.8874866878
80	0.8854127848
81	0.8845443784
82	0.882908425
83	0.8817674281
84	0.8804603144
85	0.8787252189
86	0.8781392108
87	0.8774955405
88	0.8765448682
89	0.876193324
90	0.8748941127
91	0.8718944483
92	0.8700815296
93	0.8691700632
94	0.8670742826
95	0.8661899196
96	0.8643714667
97	0.8625685607
98	0.8606272107
99	0.8593891081
100	0.8571947322
101	0.8559949946
102	0.8545829431
103	0.8531956798
104	0.8523372202
105	0.8515036303
106	0.850985598
107	0.8504618992
108	0.8499704678
109	0.8488453538
110	0.8480556422
111	0.846852448
112	0.846187838
113	0.8454393968
114	0.8443960996
115	0.8430458453
116	0.8418624087
117	0.8408236068
118	0.8397940746
119	0.8392206032
120	0.8382308776
121	0.8376712431
122	0.8371373419
123	0.8362166757
124	0.8344732549
125	0.8334824791
126	0.8331454415
127	0.8320790774
128	0.8305451283
129	0.8294042433
130	0.8282658643
131	0.8276620986
132	0.826611282
133	0.8252511701
134	0.8238092652
135	0.8231313115
136	0.8215796026
137	0.8195604207
138	0.8182540968
139	0.8176439897
140	0.8169082898
141	0.8155075738
142	0.8150051859
143	0.8140618606
144	0.8131557665
145	0.8122389834
146	0.8111567153
147	0.8099904975
148	0.8090941974
149	0.8078488503
150	0.8071374069
151	0.8062308169
152	0.8050873084
153	0.804623543
154	0.803503645
155	0.803085871
156	0.8025982745
157	0.8018846956
158	0.800636146
159	0.800138138
160	0.799126486
161	0.7986875372
162	0.7984139499
163	0.7981331246
164	0.7973152258
165	0.7965403043
166	0.7955218911
167	0.7941971784
168	0.7937035386
169	0.792834044
170	0.7918211894
171	0.7907627563
172	0.7900794589
173	0.7899869039
174	0.7884518392
175	0.7875673422
176	0.7867382574
177	0.7855419043
178	0.7846248974
179	0.7835698862
180	0.7830288956
181	0.7815125704
182	0.7812955901
183	0.7801971105
184	0.779546473
185	0.7780919427
186	0.7764612829
187	0.7761901388
188	0.7758207236
189	0.7749294125
190	0.7744843189
191	0.7738415542
192	0.7730120049
193	0.7721790916
194	0.7719098239
195	0.7716903662
196	0.770966542
197	0.7707344034
198	0.7697997134
199	0.7691793263
