iter	Passed	Remaining
0	0	158
1	1	124
2	1	113
3	3	187
4	5	216
5	7	249
6	8	237
7	11	265
8	11	252
9	12	240
10	13	232
11	14	233
12	15	226
13	16	225
14	19	234
15	20	232
16	21	226
17	21	220
18	22	217
19	24	224
20	25	220
21	26	218
22	28	216
23	29	219
24	31	219
25	32	220
26	34	219
27	35	216
28	36	212
29	37	213
30	39	215
31	40	213
32	41	209
33	42	205
34	42	202
35	43	198
36	44	195
37	45	192
38	45	189
39	46	186
40	47	185
41	48	182
42	49	179
43	49	176
44	51	177
45	52	177
46	54	178
47	56	179
48	57	177
49	58	176
50	59	174
51	60	173
52	61	171
53	62	169
54	63	168
55	64	166
56	66	165
57	66	164
58	68	162
59	68	160
60	70	159
61	70	157
62	71	156
63	72	154
64	73	153
65	74	151
66	75	149
67	76	148
68	77	147
69	78	146
70	80	146
71	82	146
72	83	144
73	84	143
74	84	141
75	85	140
76	86	138
77	88	137
78	89	136
79	90	135
80	91	134
81	92	132
82	92	130
83	93	129
84	94	128
85	95	127
86	97	126
87	97	124
88	98	123
89	100	122
90	101	121
91	102	119
92	103	118
93	104	117
94	105	116
95	106	115
96	107	114
97	109	113
98	110	112
99	111	111
100	112	110
101	113	108
102	113	107
103	114	105
104	115	104
105	116	102
106	116	101
107	117	100
108	118	98
109	119	98
110	121	97
111	122	96
112	123	94
113	124	93
114	125	92
115	126	91
116	127	90
117	128	89
118	129	88
119	130	86
120	131	85
121	132	84
122	133	83
123	134	82
124	136	81
125	136	80
126	137	79
127	138	77
128	139	76
129	140	75
130	141	74
131	141	73
132	142	71
133	143	70
134	144	69
135	144	68
136	145	66
137	146	65
138	147	64
139	147	63
140	148	62
141	149	61
142	151	60
143	152	59
144	153	58
145	154	57
146	155	56
147	156	55
148	158	54
149	159	53
150	160	52
151	162	51
152	163	50
153	164	49
154	165	47
155	166	46
156	167	45
157	168	44
158	169	43
159	169	42
160	171	41
161	172	40
162	173	39
163	174	38
164	175	37
165	176	36
166	177	35
167	178	33
168	179	32
169	180	31
170	181	30
171	183	29
172	184	28
173	185	27
174	186	26
175	187	25
176	189	24
177	190	23
178	191	22
179	192	21
180	193	20
181	194	19
182	195	18
183	197	17
184	198	16
185	199	14
186	200	13
187	201	12
188	202	11
189	203	10
190	204	9
191	205	8
192	206	7
193	207	6
194	208	5
195	209	4
196	210	3
197	212	2
198	212	1
199	213	0
